id,track_artist,track_name,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genreVerbose,genreFamily
7211,Jr. Melancon and The Come Down Playboys,Quoi Faire,177320,0,,0,0.535,0.979,2,-7.362,1,0.0349,0.00236,0.0293,0.0761,0.977,100.191,unknown,unknown
7212,JR Prince,Way Too Hot,171990,1,,16,0.849,0.742,5,-6.934,0,0.153,0.43,0,0.0914,0.645,115.995,unknown,unknown
7213,Jquintana el Imparable,El Imparable,194168,1,,3,0.647,0.585,2,-9.143,1,0.236,0.00217,1.63E-05,0.0901,0.44,74.902,unknown,unknown
7214,Jquintana el Imparable,"Nena, Te Vi Por Ahi",225985,1,,3,0.717,0.854,4,-3.923,0,0.253,0.589,0,0.271,0.941,89.98,unknown,unknown
7215,Jquintana el Imparable,Que Tu Quieres,225829,1,,3,0.901,0.499,3,-10.607,0,0.155,0.282,0,0.108,0.648,132.535,unknown,unknown
7216,Jquintana el Imparable,Te Extra–o,204382,0,,3,0.717,0.819,2,-4.615,0,0.0503,0.263,4.02E-06,0.0544,0.605,152.024,unknown,unknown
7217,Jquintana el Imparable,Chotaz,173871,1,,2,0.693,0.947,4,-5.335,0,0.206,0.253,0,0.165,0.593,90.239,unknown,unknown
7218,Jquintana el Imparable,Bella-Satta,200202,1,,2,0.8,0.822,7,-4.438,0,0.0564,0.171,0.000864,0.199,0.662,83.978,unknown,unknown
7219,Jquintana el Imparable,Getting High,172095,1,,3,0.813,0.758,1,-9.755,1,0.226,0.0242,0,0.0761,0.686,140.054,unknown,unknown
7220,Jquintana el Imparable,Me Siento Bien,205610,0,,2,0.658,0.598,8,-9.798,1,0.177,0.572,0,0.686,0.669,170.035,unknown,unknown
7221,Jquintana el Imparable,Y Me la Paso,181629,1,,3,0.713,0.877,0,-8.089,1,0.145,0.335,0,0.0813,0.55,140.065,unknown,unknown
7222,Jquintana el Imparable,Las 2,219193,1,,3,0.833,0.613,8,-6.262,1,0.0965,0.506,0,0.179,0.417,125.055,unknown,unknown
7223,Jquintana el Imparable,No Jugamos,176823,1,,3,0.678,0.485,4,-11.834,0,0.168,0.352,4.15E-06,0.167,0.262,87.018,unknown,unknown
7224,Jquintana el Imparable,Pa la Disco,190616,1,,3,0.854,0.758,2,-7.017,1,0.211,0.177,0,0.0802,0.795,93.987,unknown,unknown
7225,Jquintana el Imparable,Bella-Satta - Remix,201430,1,,2,0.806,0.806,8,-4.101,1,0.233,0.103,0,0.151,0.708,168.015,unknown,unknown
7226,Jquintana el Imparable,Llevo Tirando,232411,1,,3,0.774,0.734,11,-7.85,0,0.321,0.175,0,0.0706,0.767,83.022,unknown,unknown
7227,Journey Ortega,Crewcut,147057,0,,14,0.638,0.528,10,-6.973,0,0.0261,0.483,0.867,0.221,0.203,136.571,unknown,unknown
7228,Josh Swish,Original,383399,0,,11,0.325,0.0716,0,-24.789,1,0.0464,0.885,0.885,0.0886,0.736,109.972,unknown,unknown
7229,Josh Swish,Green Sweets,202098,0,,1,0.396,0.423,7,-17.489,1,0.0382,0.154,0.833,0.114,0.109,159.994,unknown,unknown
7230,Josh Swish,Mango,170896,0,,1,0.721,0.0408,0,-18.594,1,0.0861,0.00636,0.726,0.0541,0.479,99.978,unknown,unknown
7231,Josh Swish,Black,271943,0,,1,0.81,0.132,6,-18.533,0,0.0716,0.00624,0.879,0.0876,0.632,100.022,unknown,unknown
7232,Josh Swish,Grape,329900,0,,1,0.737,0.0599,0,-22.688,1,0.0725,0.00833,0.0368,0.101,0.0531,100.009,unknown,unknown
7233,Josh Swish,Peach,196159,0,,1,0.533,0.577,9,-15.401,0,0.0376,0.427,0.796,0.101,0.349,120.024,unknown,unknown
7234,Josh Swish,Blueberry,270457,0,,1,0.64,0.313,5,-16.79,1,0.045,0.54,0.906,0.103,0.189,140.004,unknown,unknown
7235,Josh Swish,Chocolate,95106,0,,1,0.768,0.623,7,-15.055,1,0.0945,6.28E-05,0.625,0.0964,0.138,99.998,unknown,unknown
7236,Josh Swish,Tropical Fusion,297206,0,,1,0.635,0.148,7,-21.33,1,0.0382,0.827,0.931,0.121,0.106,139.993,unknown,unknown
7237,Josh Garrett,Understand Me (17yrs Old),203861,1,,3,0.527,0.659,8,-8.37,1,0.296,0.309,0,0.105,0.112,85.063,unknown,unknown
7238,Josh Garrett,Don't Play,154646,1,,3,0.89,0.691,8,-6.408,1,0.256,0.171,0,0.0618,0.709,154.121,unknown,unknown
7239,Josh Garrett,Rootz,218306,1,,4,0.773,0.735,7,-7.132,1,0.0363,0.464,0,0.161,0.668,120.06,unknown,unknown
7240,Jay Tee,Chop That Hoe,217480,1,,15,0.946,0.858,11,-4.16,0,0.27,0.169,0,0.671,0.702,102.529,bay area hip-hop;relaxative,hip-hop
7241,Josh Garrett,Fuck 'Em,190721,1,,6,0.838,0.595,4,-9.387,0,0.184,0.422,0,0.22,0.422,92.073,unknown,unknown
7242,The Phillips Family,Grace for Grace,226027,0,,1,0.583,0.463,7,-6.08,1,0.0302,0.63,0,0.087,0.351,124.363,family gospel,other
7243,The Phillips Family,God Don't Remember That,168800,0,,1,0.707,0.747,5,-5.13,1,0.0274,0.235,0,0.108,0.676,106.036,family gospel,other
7244,The Phillips Family,I Can't Quit,221173,0,,9,0.484,0.424,1,-5.549,1,0.0319,0.509,0,0.101,0.234,127.107,family gospel,other
7245,The Phillips Family,Next of Kin,119893,0,,1,0.756,0.882,5,-4.816,1,0.0486,0.349,0,0.178,0.868,108.867,family gospel,other
7246,The Phillips Family,We're Not Home Yet,292480,0,,2,0.486,0.445,10,-6.243,1,0.029,0.306,0,0.131,0.389,169.941,family gospel,other
7247,The Phillips Family,If Not for Grace,180533,0,,7,0.705,0.419,10,-5.63,1,0.0348,0.52,0,0.135,0.418,124.003,family gospel,other
7248,The Phillips Family,He Will See to It,241227,0,,1,0.553,0.44,10,-6.111,1,0.0298,0.247,0,0.105,0.362,165.981,family gospel,other
7249,The Phillips Family,I'll Go With God,126707,0,,2,0.639,0.396,9,-5.338,1,0.0281,0.407,0,0.135,0.488,137.875,family gospel,other
7250,The Phillips Family,The Shepherd On the Cross,177293,0,,1,0.659,0.485,5,-5.671,1,0.0301,0.434,0,0.194,0.368,134.118,family gospel,other
7251,The Phillips Family,The Preacher's Wife,221893,0,,1,0.676,0.7,0,-5.898,1,0.0351,0.5,0,0.173,0.417,136.921,family gospel,other
7252,Josh Garrett,They Can't Stop Me,225150,1,,3,0.879,0.729,5,-7.312,0,0.233,0.175,0,0.161,0.284,130.027,unknown,unknown
7253,Josh Garrett,My Feelings,135341,1,,2,0.677,0.598,4,-9.462,0,0.295,0.314,0,0.142,0.492,152.246,unknown,unknown
7254,Josh Garrett,Old River Rd South,182937,1,,5,0.793,0.795,9,-7.216,1,0.219,0.146,0,0.345,0.889,158.977,unknown,unknown
7255,Josh Garrett,I'm Gone Get It (17yrs Old),237376,1,,1,0.539,0.718,1,-8.756,0,0.282,0.55,0,0.118,0.582,89.991,unknown,unknown
7256,Bedtime Instrumental Piano Music Academy,Tranquillity,211005,0,,2,0.556,0.00674,0,-24.467,1,0.0354,0.989,0.947,0.0999,0.373,64.994,pianissimo,other
7257,Bedtime Instrumental Piano Music Academy,Sleepyhead,210997,0,,2,0.738,0.031,4,-24.11,0,0.0459,0.959,0.946,0.0957,0.422,99.987,pianissimo,other
7258,Bedtime Instrumental Piano Music Academy,Twilight Dreams,190192,0,,2,0.744,0.05,4,-21.845,1,0.0541,0.994,0.886,0.114,0.297,80.038,pianissimo,other
7259,Bedtime Instrumental Piano Music Academy,Celestial Voyager,139666,0,,2,0.711,0.0271,5,-29.367,1,0.044,0.993,0.929,0.0981,0.146,110.975,pianissimo,other
7260,Bedtime Instrumental Piano Music Academy,Happy Thought,185736,0,,2,0.372,0.00234,3,-32.898,1,0.0381,0.996,0.936,0.0932,0.321,68.748,pianissimo,other
7261,Bedtime Instrumental Piano Music Academy,Evening Glow,127514,0,,2,0.431,0.00617,3,-30.474,1,0.0683,0.996,0.923,0.0961,0.59,82.956,pianissimo,other
7262,Bedtime Instrumental Piano Music Academy,Til Morning,138180,0,,2,0.673,0.0381,3,-16.5,1,0.0444,0.989,0.178,0.115,0.764,83.001,pianissimo,other
7263,Bedtime Instrumental Piano Music Academy,Morning Slumber,164931,0,,2,0.762,0.0307,7,-27.841,1,0.039,0.994,0.941,0.0973,0.331,94.017,pianissimo,other
7264,Bedtime Instrumental Piano Music Academy,Hit The Hay,140098,0,,2,0.779,0.00577,11,-19.616,1,0.0838,0.99,0.927,0.102,0.536,64.208,pianissimo,other
7265,Bedtime Instrumental Piano Music Academy,Introspection,196741,0,,2,0.857,0.0906,6,-22.886,0,0.0971,0.994,0.966,0.111,0.527,77.012,pianissimo,other
7266,Bedtime Instrumental Piano Music Academy,Stargazer,175332,0,,2,0.575,0.01,0,-29.713,1,0.0361,0.992,0.903,0.0962,0.399,105.039,pianissimo,other
7267,Bedtime Instrumental Piano Music Academy,Aura,179792,0,,2,0.738,0.0321,4,-28.721,0,0.0386,0.996,0.934,0.0779,0.321,89.001,pianissimo,other
7268,Bedtime Instrumental Piano Music Academy,Dreamer,155372,0,,2,0.69,0.00812,5,-29.378,0,0.0352,0.967,0.945,0.097,0.36,93.655,pianissimo,other
